borough,neighborhood,latitude,longitude,studio_2021,br_1_2021,br_2_2021,no_of_school,no_of_hospital,no_of_restaurant,no_of_bank,no_of_bar,no_of_busstation,no_of_cafe,criminal_rate,population_2020
Manhattan,Garment District,40.753735,-73.990759,1400,3175,4000,1,0,1,1,0,0,1, 13024,4769
Brooklyn,Georgetown,40.6238452448,-73.9160748395,1485,1650,2049,3,0,4,1,5,1,1, 1051,93534
Brooklyn,Gerritsen Beach,40.5908484339,-73.9301017069,1296,1440,2600,2,0,4,1,3,2,3, 799,23028
Queens,Glen Oaks,40.7494407997,-73.71548119,1564,1738,2000,2,4,5,1,5,4,3, 401,11682
Queens,Glendale,40.7027624297,-73.8707416744,2000,1675,2000,2,0,8,1,8,5,3, 575,35135
Brooklyn,Gowanus,40.6739311432,-73.9944408715,2400,2000,2350,3,0,3,2,22,1,12, 1749,14791
Manhattan,Gramercy,40.7372098327,-73.9813759483,5800,3398,3630,4,3,3,5,27,9,32, 6467,28628
Staten Island,Graniteville,40.6201715122,-74.1531524639,1485,1650,1850,2,1,3,1,1,0,1, 1013,11164
Staten Island,Grant City,40.5762155871,-74.1058559855,1530,1700,1900,1,0,2,0,1,0,1, 734,53877
Staten Island,Grasmere,40.5982683596,-74.0766743628,1350,1500,1750,1,0,3,1,1,0,0, 661,9064
Brooklyn,Gravesend,40.5952600131,-73.9734708771,2350,1600,1838,4,0,8,2,12,4,13, 1172,117297
Staten Island,Great Kills,40.5494802287,-74.1493238149,1260,1400,1750,3,0,8,1,10,0,1, 336,27921
Brooklyn,Greenpoint,40.7302009849,-73.9542409313,2300,2400,2550,5,0,8,2,50,5,28, 1523,38980
Staten Island,Greenridge,40.5552952362,-74.1707941479,1350,1500,1750,1,0,3,0,1,1,0, 365,8847
Manhattan,Greenwich Village,40.7269328854,-73.9999140295,2100,3495,4500,5,0,5,5,39,11,39, 7627,34147
Brooklyn,Greenwood Heights,40.657649,-73.997425,2012,1900,2100,5,0,5,1,40,1,11, 1267,39475
Staten Island,Grymes Hill,40.6241847913,-74.0872481998,1350,1500,1750,3,0,2,1,2,0,0, 1080,12337
Manhattan,Hamilton Heights,40.8236042848,-73.9496879188,1593,1694,2071,8,1,8,2,45,12,19, 6734,49410
Queens,Hammels,40.5873377402,-73.8055300297,2839,1700,2000,1,0,2,0,0,1,0, 1026,13000
Staten Island,Heartland Village,40.5891389488,-74.1590220816,1600,2742,3900,1,0,2,1,0,0,0, 535,89792
Manhattan,Hell's Kitchen,40.762535,-73.993621,3410,3790,5500,0,0,0,0,0,0,0, 8211,59524
Bronx,High  Bridge,40.8366230107,-73.9261020936,1350,1725,1900,5,2,5,1,22,7,4, 5927,32456
Brooklyn,Highland Park,40.6819989345,-73.8903457099,1750,1935,2150,1,0,4,1,1,0,1, 1704,33030
Queens,Hillcrest,40.7238249018,-73.7976030091,1485,1650,2100,2,1,5,1,0,8,2, 513,17834
Queens,Hollis,40.7112434419,-73.7592500934,1440,1600,2000,3,0,8,1,8,1,1, 1196,24576
Queens,Holliswood,40.7209572076,-73.7671416671,1705,1895,1852,2,2,4,1,1,4,0, 700,11788
Brooklyn,Homecrest,40.5985250951,-73.9591845943,1462,1625,1787,5,1,5,2,15,5,9, 1518,26389
Queens,Howard Beach,40.6542252774,-73.838137646,1600,1675,2200,1,0,8,1,7,3,5, 397,13660
Staten Island,Howland Hook,40.6384328379,-74.1862233175,1350,1500,1750,0,0,1,0,2,0,0, 9,1073
Manhattan,Hudson Yards,40.7566580823,-74.000111362,3500,3850,5120,2,0,3,2,15,5,9, 6452,7762
Staten Island,Huguenot,40.5319119205,-74.1917410575,1200,1350,1500,1,0,1,1,1,0,0, 149,10133
Queens,Hunters Point,40.7434140901,-73.9538678213,2520,2800,3080,5,1,5,1,30,3,14, 1324,16108
Bronx,Hunts Point,40.8097298794,-73.8833150596,1215,1350,1500,1,0,5,1,2,0,1, 744,15131
Manhattan,Inwood,40.8676839645,-73.921210422,1575,1733,2100,5,1,5,2,48,4,6, 2624,36299
Queens,Jackson Heights,40.7519813801,-73.8828210916,1600,1800,2150,5,3,5,3,46,6,25, 5276,101848
Queens,Jamaica Center,40.7046573607,-73.7969016589,1575,1815,2200,5,2,5,2,12,19,5, 3919,61026
Queens,Jamaica Estates,40.7168048301,-73.7872269694,1375,1738,2350,5,0,5,1,7,2,0, 1176,11788
Queens,Jamaica Hills,40.7114596437,-73.7964646208,1500,1600,2300,2,0,1,0,0,0,0, 3386,19646
Brooklyn,Kensington,40.642381958,-73.9804211056,1450,1675,2123,8,1,5,2,15,6,10, 1444,41758
Queens,Kew Gardens,40.7051790354,-73.8298190583,1450,1800,2125,5,0,8,2,18,7,8, 1515,24371
Queens,Kew Gardens Hills,40.7225782442,-73.8208776493,1500,1699,2100,5,0,8,2,5,9,4, 878,36009
Bronx,Kingsbridge,40.8816873712,-73.9028179872,2150,1700,2198,4,1,4,2,24,5,2, 3370,11403
Bronx,Kingsbridge Heights,40.8703923914,-73.9015226451,1548,1720,1892,2,1,3,0,1,5,1, 4976,17888
Manhattan,Kips Bay,40.741068,-73.977322,2125,2698,3646,1,0,2,2,11,0,9, 4612,31760
Queens,Laurelton,40.6678838966,-73.7402560799,3098,1600,2000,3,0,3,1,5,1,1, 745,26088
Queens,Lefrak City,40.7360745708,-73.8625247141,1450,1900,2300,2,1,3,1,3,3,4, 3380,91510
Manhattan,Lenox Hill,40.7681126583,-73.9588596881,1852,2621,4084,3,2,2,3,19,10,22, 4030,28509
Staten Island,Lighthouse Hill,40.5765062938,-74.1379266377,1350,1500,1750,0,0,0,0,0,0,0, 93,8205
Manhattan,Lincoln Square,40.7735288894,-73.98533777,2129,3226,5187,5,1,5,5,44,19,44, 4300,35348
Queens,Lindenwood,40.6639184193,-73.849637824,1710,1100,1225,2,0,4,1,0,0,2, 688,13660
Manhattan,Little Italy,40.719323794,-73.9973046721,1971,2250,3850,1,0,1,2,0,0,3, 8563,7762
Queens,Little Neck,40.7708261928,-73.7388977558,1687,1875,3275,4,0,8,1,11,2,6, 169,12631
Queens,Long Island City,40.7502173461,-73.9392022392,2275,2500,3300,8,2,8,3,41,12,24, 2753,16108
Bronx,Longwood,40.8150990455,-73.8957882009,1548,1720,1892,4,1,4,1,8,4,5, 4532,40289
Manhattan,Lower East Side,40.7178067489,-73.98089032,1595,2375,3195,4,1,2,1,5,1,10, 7800,49149
Brooklyn,Madison,40.6093777011,-73.9484151533,889,1039,1211,3,0,4,0,3,4,0, 1080,41465
Queens,Malba,40.7906015567,-73.8266775714,1800,1999,2150,2,0,2,0,0,2,0, 219,18693
Brooklyn,Manhattan Beach,40.5779135031,-73.9435372289,2000,1775,2250,4,1,4,0,1,0,1, 348,23028
