neighborhood,id,borough,type,lat,long,studio_2020,br_1_2020,br_2_2020,br_3_2020,studio_2021,br_1_2021,br_2_2021
Tribeca,nyu_2451_34572.121,Manhattan,Point,40.721522,-74.010683,3502,5543,9650,15886,1650,3800,5625
Tudor City,nyu_2451_34572.275,Manhattan,Point,40.746917,-73.971219,,,,,,,
Turtle Bay,nyu_2451_34572.274,Manhattan,Point,40.752042,-73.967708,2237,3430,5133,12517,,,
Two Bridges,MJB.21,Manhattan,Point,40.711727,-73.992555,,,,,1450,1827,3203
Unionport,nyu_2451_34572.45,Bronx,Point,40.829774,-73.850535,,,,,1300,1600,1775
University Heights,nyu_2451_34572.15,Bronx,Point,40.855727,-73.910416,,,,,1898,1650,1995
Upper East Side,nyu_2451_34572.108,Manhattan,Point,40.775639,-73.960508,,,,,1975,2395,3295
Upper West Side,nyu_2451_34572.112,Manhattan,Point,40.787658,-73.977059,,,,,1400,2750,4350
Utopia,nyu_2451_34572.265,Queens,Point,40.7335,-73.796717,,,,,,,
Van Cortlandt Village,MJB.22,Bronx,Point,40.883644,-73.894275,,,,,2700,1500,1983
Van Nest,nyu_2451_34572.33,Bronx,Point,40.843608,-73.866299,,,,,,1875,2200
Vinegar Hill,nyu_2451_34572.281,Brooklyn,Point,40.703321,-73.981116,,,,,1475,2400,4500
Wakefield,nyu_2451_34572.1,Bronx,Point,40.894705,-73.847201,,,,,1650,1600,1800
Washington Heights,nyu_2451_34572.102,Manhattan,Point,40.851903,-73.9369,1978,2039,2425,2859,1937,1775,2163
Weeksville,nyu_2451_34572.282,Brooklyn,Point,40.67504,-73.930531,,,,,,,
West Brighton,nyu_2451_34572.202,Staten Island,Point,40.631879,-74.107182,,,,,,2400,1800
West Farms,nyu_2451_34572.19,Bronx,Point,40.839475,-73.877745,,,,,,1500,1700
West Village,nyu_2451_34572.124,Manhattan,Point,40.734434,-74.00618,2765,4169,7026,11903,1100,3310,4995
Westchester Square,nyu_2451_34572.32,Bronx,Point,40.840619,-73.842194,,,,,2491,1700,1725
Westerleigh,nyu_2451_34572.226,Staten Island,Point,40.62109,-74.133041,,,,,,1250,1800
Whitestone,nyu_2451_34572.151,Queens,Point,40.781291,-73.814202,,,,,,1999,2150
Williamsbridge,nyu_2451_34572.10,Bronx,Point,40.881039,-73.857446,,,,,,1700,2100
Williamsburg,nyu_2451_34572.62,Brooklyn,Point,40.707144,-73.958115,2712,3166,4043,5081,1900,2500,2584
Willowbrook,nyu_2451_34572.286,Staten Island,Point,40.603707,-74.132084,,,,,,1200,1550
Windsor Terrace,nyu_2451_34572.59,Brooklyn,Point,40.656946,-73.980073,1939,2563,2877,3679,1627,2196,2952
Wingate,nyu_2451_34572.223,Brooklyn,Point,40.660947,-73.937187,,,,,,,
Woodhaven,nyu_2451_34572.147,Queens,Point,40.689887,-73.85811,,,,,1550,1555,1925
Woodlawn Heights,nyu_2451_34572.8,Bronx,Point,40.898273,-73.867315,,,,,,1700,2100
Woodrow,nyu_2451_34572.217,Staten Island,Point,40.541968,-74.205246,,,,,,1400,
Woodside,nyu_2451_34572.131,Queens,Point,40.746349,-73.901842,,,,,1700,1700,2173
Woodstock,MJB.23,Bronx,Point,40.817445,73.903243,,,,,,,1950
Yorkville,nyu_2451_34572.109,Manhattan,Point,40.77593,-73.947118,2215,2838,4181,7084,,,
