borough,neighborhood,latitude,longitude,studio_2021,br_1_2021,br_2_2021,school,hospital,no_of_restaurant,bank,criminal_rate,population_2020
Queens,Sunnyside Gardens,40.74565181,-73.91819286,2895,3295,3350,1,0,13,1,2001,7031
Brooklyn,Sunset Park,40.64510295,-74.01031619,2423,1725,1900,1,1,50,1,3300,79113
Manhattan,Sutton Place,40.76028033,-73.96355614,3279,3300,4850,1,1,31,1,4390,31130
Manhattan,Theater District,40.759043,-73.984464,3195,4406,6303,1,1,5,1,10759,17497
Bronx,Throgs Neck,40.81510926,-73.81635002,2538,1750,1950,1,0,37,1,571,24085
Staten Island,Todt Hill,40.59706852,-74.11132882,1350,1500,1750,1,0,0,0,80,8205
Staten Island,Tompkinsville,40.63731607,-74.08055352,1700,1888,2800,0,0,3,0,1915,6342
Staten Island,Tottenville,40.50533376,-74.24656934,1250,1400,1650,1,0,29,1,392,8044
Staten Island,Travis,40.58631375,-74.19073718,1460,1620,1800,1,0,15,0,96,10717
Manhattan,Tribeca,40.72152197,-74.01068329,1650,3800,5625,1,1,37,1,3956,12695
Manhattan,Tudor City,40.74691741,-73.97121929,3145,3495,3844,1,1,20,1,3896,15846
Manhattan,Turtle Bay,40.75204237,-73.96770825,1789,2744,4106,1,0,11,1,3347,14827
Manhattan,Two Bridges,40.711727,-73.992555,1450,1827,3203,1,0,10,1,5842,19674
Bronx,Unionport,40.8297743,-73.85053524,1300,1600,1775,1,0,20,0,2420,34584
Bronx,University Heights,40.85572708,-73.91041596,1898,1650,1995,1,1,50,1,6343,50610
Manhattan,Upper East Side,40.77563857,-73.96050763,1975,2395,3295,1,1,50,1,3808,130246
Manhattan,Upper West Side,40.787658,-73.97705924,1400,2750,4350,1,1,50,1,3337,101767
Queens,Utopia,40.73350025,-73.79671678,1530,1700,2100,1,1,20,1,620,5069
Bronx,Van Cortlandt Village,40.883644,-73.894275,2700,1500,1983,1,0,7,0,1758,17888
Bronx,Van Nest,40.84360847,-73.86629918,1687,1875,2200,1,1,31,1,2453,15245
Brooklyn,Vinegar Hill,40.7033215,-73.98111604,1475,2400,4500,1,0,17,0,1734,63378
Bronx,Wakefield,40.89470518,-73.84720052,1650,1600,1800,1,1,50,1,2675,47657
Manhattan,Washington Heights,40.85190253,-73.93690028,1937,1775,2163,1,1,50,1,4464,143879
Brooklyn,Weeksville,40.67503987,-73.93053109,1600,1780,2250,1,1,29,1,5263,45364
Staten Island,West Brighton,40.63187893,-74.10718178,1460,1620,1800,1,1,50,1,681,12337
Bronx,West Farms,40.83947506,-73.87774475,1350,1500,1700,1,0,26,0,4474,22147
Manhattan,West Village,40.73443394,-74.00617998,1100,3310,4995,1,1,13,1,4905,35011
Bronx,Westchester Square,40.8406195,-73.84219408,2491,1700,1725,1,1,38,1,1493,17376
Staten Island,Westerleigh,40.62109047,-74.13304144,1125,1250,1800,1,0,25,1,515,15729
Queens,Whitestone,40.78129077,-73.81420217,1800,1999,2150,1,0,50,1,450,28408
Bronx,Williamsbridge,40.88103888,-73.85744643,1530,1700,2100,1,1,50,1,3706,30673
Brooklyn,Williamsburg,40.70714439,-73.95811529,1900,2500,2584,1,1,50,1,2999,64444
Staten Island,Willowbrook,40.60370693,-74.13208447,1080,1200,1550,1,1,20,0,348,10717
Brooklyn,Windsor Terrace,40.65694584,-73.9800734,1627,2196,2952,1,0,46,0,702,11811
Brooklyn,Wingate,40.66094656,-73.93718681,1440,1600,1760,1,1,42,1,3793,24756
Queens,Woodhaven,40.68988688,-73.85811047,1550,1555,1925,1,1,50,1,1781,41948
Bronx,Woodlawn,40.89827261,-73.86731497,1530,1700,2100,1,1,45,1,1023,15716
Staten Island,Woodrow,40.54196762,-74.20524582,1250,1400,1650,1,0,11,1,262,10133
Queens,Woodside,40.74634909,-73.90184167,1700,1700,2173,1,1,50,1,2558,53188
Bronx,Woodstock,40.817445,73.903243,1580,1755,1950,1,0,6,0,6120,10729
Manhattan,Yorkville,40.77592985,-73.94711784,1772,2270,3344,1,1,15,1,3796,42023
