borough,neighborhood,latitude,longitude,studio_2021,br_1_2021,br_2_2021,school,hospital,no_of_restaurant,bank,criminal_rate,population_2020
Queens,Blissville,40.73725072,-73.93244235,1440,1600,2000,1,0,25,1,809,32348
Staten Island,Bloomfield,40.60577868,-74.18725638,1350,1500,1650,1,0,3,1,73,16342
Brooklyn,Boerum Hill,40.68568291,-73.98374824,2446,2300,2750,1,0,2,0,5921,20484
Brooklyn,Borough Park,40.63313051,-73.99049823,1599,1700,1873,1,1,43,1,1126,69
Manhattan,Bowery,40.721704,-73.991557,3839,5300,4500,0,0,0,0,10091,1693
Queens,Breezy Point,40.55740129,-73.92551197,1862,3080,3692,1,0,4,0,25,6033
Queens,Briarwood,40.71093547,-73.81174822,2500,2999,2850,1,1,47,1,1574,19646
Brooklyn,Brighton Beach,40.57682507,-73.96509449,1438,1700,2050,1,1,50,1,2004,33568
Queens,Broad Channel,40.60302658,-73.82005489,1750,1850,2050,1,0,13,1,73,6033
Manhattan,Broadway Corridor,40.812433,-73.960534,3150,3500,4200,1,0,11,0,4538,110458
Brooklyn,Broadway Junction,40.67786105,-73.90331685,2598,3350,4368,1,1,28,1,3637,5327
Bronx,Bronxdale,40.85272298,-73.86172578,1465,1628,1790,1,1,9,1,2048,75714
Brooklyn,Brooklyn Heights,40.69586372,-73.99378226,1850,2600,3450,1,1,50,1,3119,25092
Brooklyn,Brooklyn Navy Yard,40.702087,-73.972412,3000,3395,5345,1,0,10,0,1742,5
Queens,Brookville,40.66000323,-73.75175311,1822,2025,2250,1,0,1,0,620,11551
Brooklyn,Brownsville,40.66394994,-73.91023536,1895,1650,1888,1,1,50,1,6060,60470
Staten Island,Bulls Head,40.6095918,-74.15940949,990,1100,1475,1,0,41,1,348,10717
Brooklyn,Bushwick,40.69811611,-73.92525797,1731,2150,2100,1,1,50,1,4915,120741
Staten Island,Butler Manor,40.50608165,-74.2295035,2175,1500,2000,1,0,1,0,106,1835
Queens,Cambria Heights,40.69277464,-73.73526874,1800,1800,2100,1,0,46,1,635,19081
Brooklyn,Canarsie,40.63556433,-73.9020927,2000,1500,1950,1,1,50,1,1577,89932
Manhattan,Carnegie Hill,40.78268257,-73.95325647,1845,2612,4437,1,1,15,1,4740,31205
Brooklyn,Carroll Gardens,40.68054023,-73.99465373,2175,2400,3000,1,0,25,1,1943,14791
Bronx,Castle Hill,40.81901438,-73.8480273,1863,2070,2300,1,0,32,1,1348,41420
Staten Island,Castleton Corners,40.61333594,-74.11918059,1134,1260,1400,1,1,50,1,363,15729
Manhattan,Central Harlem,40.81597607,-73.94321113,2300,2647,2400,1,1,28,1,9038,136351
Manhattan,Central Park,40.765215,-73.979667,2400,3623,3325,1,1,50,1,609,129
Staten Island,Charleston,40.53053148,-74.23215776,2693,2992,3325,1,0,36,1,132,8044
Manhattan,Chelsea,40.74403471,-74.00311633,2323,3125,4959,1,1,48,1,5339,69741
Staten Island,Chelsea,40.59472603,-74.18956046,2175,1500,2000,1,0,14,0,160,3006
